Platform,Rating,Review Text (Original),Review Text (Cleaned),Review Date,App Version
google_play,5,this app is very best my earnings in 1 month 50000,this app is very best my earnings in 1 month 50000,2025-11-22 21:38:25.000000,17.93.2
google_play,1,only good for long time for others it is worst app.. i lost alot of money by using this app.. some time refreshing some time not exicute etc.. many problems are there in this app.. and you see more pr...,"only good for long time for others it is worst app.. i lost alot of money by using this app.. some time refreshing some time not exicute etc.. many problems are there in this app.. and you see more profit on your PL, But when you exit it it will less than the first amount and when you see the loss amount on your PL when exit it the loss amout is more than when you see first... if you put a target number the target will hit only the target number cross above not will hit even reach the target.",2025-11-22 20:05:42.000000,17.96.7
google_play,4,"I'm fulfilled with everything. But I need a only thing is , i need a PAUSE & RESUME option for a mutual fund. It will be very convenient for me.","I'm fulfilled with everything. But I need a only thing is , i need a PAUSE & RESUME option for a mutual fund. It will be very convenient for me.",2025-11-22 20:04:29.000000,17.96.7
google_play,5,Super Impressive and easy to use this awesome,Super Impressive and easy to use this awesome,2025-11-22 19:25:52.000000,17.97.1
google_play,5,I also use the app amazing features.,I also use the app amazing features.,2025-11-22 19:19:43.000000,
google_play,5,best app super and use very simple thanks,best app super and use very simple thanks,2025-11-22 19:18:39.000000,
google_play,5,"Excellent Work Life Balance. Complete WFO policy. Dislikes. Think of Groww not much as a startup, but more as an early retirement plan.","Excellent Work Life Balance. Complete WFO policy. Dislikes. Think of Groww not much as a startup, but more as an early retirement plan.",2025-11-22 18:57:41.000000,
google_play,5,Best for investment and trading,Best for investment and trading,2025-11-22 18:51:37.000000,
google_play,5,exllent app verry easy ant interface is verry good 👍,exllent app verry easy ant interface is verry good,2025-11-22 17:01:59.000000,17.96.6
google_play,1,"Don't go for groww, use zerodha or something else, this application have many technical glitches Don't loss your hard earn money.","Don't go for groww, use zerodha or something else, this application have many technical glitches Don't loss your hard earn money.",2025-11-22 16:53:35.000000,17.96.7
google_play,1,india's Highest Charges App 👎,india's Highest Charges App,2025-11-22 14:03:10.000000,17.96.7
app_store,5,Grow is very User Friendly Mobile Application for Trading. also its Pre-Apply IPO Feature makes you one step ahead of other Application. Off Trading Hours we can book Order and they are placed easily,Grow is very User Friendly Mobile Application for Trading. also its Pre-Apply IPO Feature makes you one step ahead of other Application. Off Trading Hours we can book Order and they are placed easily,2025-11-22 13:35:42.000000,17.97.0
google_play,5,groww is India's no 1 share market trading investment app it is user friendly a nd easy to use,groww is India's no 1 share market trading investment app it is user friendly a nd easy to use,2025-11-22 13:14:30.000000,17.96.7
google_play,1,third class app. learn how to develop app from upstock. all app give buy and sell option in stock. but in groww given sell and buy option so many times put wrong order. UI is third class compare to al...,"third class app. learn how to develop app from upstock. all app give buy and sell option in stock. but in groww given sell and buy option so many times put wrong order. UI is third class compare to all app. many unnecessary screen are showing, need to scroll and tap to watchlist every time when i open the app as default screen is explore. unnecessary scrolling and tap for watchlist. UI must need to improve. your dev team is third class in UI. ask them to use upstock how to build best UI",2025-11-22 11:28:32.000000,17.95.2
google_play,4,Dont open demat ac with groww beacuse the custmer support team very bad no one response when u got a problem go with angel one best custmer support,Dont open demat ac with groww beacuse the custmer support team very bad no one response when u got a problem go with angel one best custmer support,2025-11-22 11:08:44.000000,17.96.7
google_play,5,VERY GOOD VERY SIMPLE APP,VERY GOOD VERY SIMPLE APP,2025-11-22 10:52:31.000000,17.96.7
google_play,5,Everything in this platform is very easy to use there is no laggy in any stage,Everything in this platform is very easy to use there is no laggy in any stage,2025-11-22 10:44:27.000000,17.96.7
google_play,5,Groww is really helping us grow and fulfil our dreams by saving bits and pieces.. Keep up :),Groww is really helping us grow and fulfil our dreams by saving bits and pieces.. Keep up :),2025-11-22 10:35:13.000000,17.95.2
google_play,5,Excellent And User Friendly Trading App.,Excellent And User Friendly Trading App.,2025-11-22 09:54:21.000000,17.96.6
google_play,4,good application ...but need to update the interface ...and the withdrawal system... so that we can withdraw any day any time.,good application ...but need to update the interface ...and the withdrawal system... so that we can withdraw any day any time.,2025-11-22 09:01:33.000000,17.96.7
google_play,5,"very good app, in contract note brokerage details not mentioned against each order, please mention the brokerage against each order","very good app, in contract note brokerage details not mentioned against each order, please mention the brokerage against each order",2025-11-22 08:53:52.000000,17.96.6
google_play,2,"Groww isn’t the same as before. Now it charges brokerage on every transaction, even when we add some shares or make a purchase.","Groww isn’t the same as before. Now it charges brokerage on every transaction, even when we add some shares or make a purchase.",2025-11-22 07:33:59.000000,17.90
app_store,5,"Groww has quickly emerged as one of India's top trading and wealth management apps, praised for its intuitive user interface, wide range of features, and transparent pricing. The app offers seamless i...","Groww has quickly emerged as one of India's top trading and wealth management apps, praised for its intuitive user interface, wide range of features, and transparent pricing. The app offers seamless investing in stocks, mutual funds, IPOs, and advanced options trading tools, making it accessible for both beginners and experienced investors. Its user-friendly design and secure platform—with features like 128-bit encryption—provide a safe and efficient investment experience for millions of Indians. The recent merger with Fisdom Private Wealth marks a transformational milestone for Groww, elevating it to India’s top wealth advisory platform. This strategic acquisition—valued at around $150 million—adds robust wealth management offerings including mutual funds, pension services, and insurance to Groww’s already expansive investment suite. The integration of Fisdom’s expertise and team strengthens Groww’s capability to serve HNI and affluent clients through personalized and comprehensive advisory services. Groww’s deep penetration into Tier-2 and Tier-3 cities and a large, young user base reflect its commitment to financial inclusion and tech-driven empowerment in India. Following the merger, Groww now leverages Fisdom’s wealth solutions and its own massive retail network, ensuring clients get access to the best-in-class wealth management, superior advisory, and innovative investment products with continued customer-first values. Overall, Groww stands out for: - Simple, smooth, and secure trading and investment platform. - Strong customer ratings and industry-leading active user count]. - Enhanced wealth advisory and diversified financial products post-Fisdom merger. - Excellent support for both retail investors and affluent HNI clients. This bold move has set Groww apart as India’s foremost modern wealth advisory and investment gateway, trusted by millions for all their financial growth needs.",2025-11-22 05:59:05.000000,17.97.0
google_play,3,"I liked your application but I have to face lagging issue, meaning the sale does not happen at the correct point, it does not show the amount at which it is sold.","I liked your application but I have to face lagging issue, meaning the sale does not happen at the correct point, it does not show the amount at which it is sold.",2025-11-21 22:37:44.000000,
google_play,1,Some times withdrawal problems worst experience,Some times withdrawal problems worst experience,2025-11-21 22:13:05.000000,17.96.7
google_play,5,it's a best platform for life grow 🪴,it's a best platform for life grow,2025-11-21 21:56:10.000000,17.96.7
google_play,1,What's a trading and demat charges ?,What's a trading and demat charges ?,2025-11-21 21:31:09.000000,17.96.6
google_play,3,"The UI and accessibility are all good. However, The data displayed related to stocks are inconsistent across different tabs, like the data related to total investment made, profit/loss, track history ...","The UI and accessibility are all good. However, The data displayed related to stocks are inconsistent across different tabs, like the data related to total investment made, profit/loss, track history are all in a mess and not accurate. It'd be better if those issues were fixed for good.",2025-11-21 20:46:49.000000,
google_play,5,best ever stock broker I have ever since used,best ever stock broker I have ever since used,2025-11-21 20:21:15.000000,
google_play,5,using from last 2 year's and now finally on 915 great working with fast execution great work team 👍😊,using from last 2 year's and now finally on 915 great working with fast execution great work team,2025-11-21 20:19:05.000000,17.96.7
google_play,5,everything is fine in app but please tell me when it is coming for desktop mode for use of tablet,everything is fine in app but please tell me when it is coming for desktop mode for use of tablet,2025-11-21 20:02:51.000000,
google_play,1,New UI for f&o option chain view is not display Oi and price clearly each time we have to adjust scrolling the screen.,New UI for f&o option chain view is not display Oi and price clearly each time we have to adjust scrolling the screen.,2025-11-21 19:59:14.000000,17.96.7
google_play,3,"Please add SL & TARGET set in chart for equity intraday trading in mobile app...🙏 We are known that this facility already present in F&O trading, but didn't present in Equity Intraday trading, please ...","Please add SL & TARGET set in chart for equity intraday trading in mobile app... We are known that this facility already present in F&O trading, but didn't present in Equity Intraday trading, please add this option in next update..... Thank You....",2025-11-21 19:57:55.000000,17.96.7
google_play,5,now grow app is growing but required a little bit improvement. please provide scalper mode for commodities also. please provide demo trading account for learning purpose,now grow app is growing but required a little bit improvement. please provide scalper mode for commodities also. please provide demo trading account for learning purpose,2025-11-21 19:39:38.000000,17.96.7
google_play,5,The Best app i ever experienced,The Best app i ever experienced,2025-11-21 19:35:39.000000,17.96.7
google_play,5,best free trading app in india I have been using this app for more than 3 years,best free trading app in india I have been using this app for more than 3 years,2025-11-21 19:32:05.000000,17.97.0
google_play,1,liquid fund not redeem in 24 hr emergency fund,liquid fund not redeem in 24 hr emergency fund,2025-11-21 19:14:45.000000,17.96.7
google_play,5,"Great app. Simple to use, easy to navigate","Great app. Simple to use, easy to navigate",2025-11-21 19:12:23.000000,
google_play,5,trusted and simple to use,trusted and simple to use,2025-11-21 17:16:34.000000,17.96.6
google_play,1,"not able to use , the error is coming - ""you are not allowed to perform this action"".","not able to use , the error is coming - ""you are not allowed to perform this action"".",2025-11-21 16:48:03.000000,17.96.6
